page_id,url,seed_query,retrieved_utc,blocks_with_numeric_claim,blocks_sourced_machine,blocks_sourced_after_human_review,percent_sourced
industry-lens.com,https://industry-lens.com/intelligence/ai-search,best AI search visibility tools comparison 2026,2026-08-30T20:39:12.855296+00:00,21,14,13,61.9
tryprofound.com,https://www.tryprofound.com/articles/top-experts-in-generative-engine-optimization,generative engine optimization guide 2026,2026-08-30T20:38:56.146244+00:00,11,6,6,54.5
tryprofound.com-4,https://www.tryprofound.com/articles/what-is-answer-engine-optimization,what is answer engine optimization,2026-08-30T20:39:54.432322+00:00,10,6,5,50.0
promptzero.tech,https://promptzero.tech/blog/generative-engine-optimization-guide/,generative engine optimization guide 2026,2026-08-30T20:38:58.972730+00:00,15,7,6,40.0
writer.com,https://writer.com/blog/geo-aeo-optimization/,generative engine optimization guide 2026,2026-08-30T20:39:01.252274+00:00,35,14,14,40.0
frase.io,https://www.frase.io/blog/what-is-generative-engine-optimization-geo,generative engine optimization guide 2026,2026-08-30T20:39:02.508635+00:00,48,21,19,39.6
ahrefs.com,https://ahrefs.com/blog/how-to-rank-in-ai-overviews/,how to rank in google ai overviews,2026-08-30T20:40:10.846535+00:00,15,7,5,33.3
aisearch.similarweb.com,https://aisearch.similarweb.com/blog/what-is-geo/,generative engine optimization guide 2026,2026-08-30T20:38:53.494037+00:00,24,9,8,33.3
semrush.com,https://www.semrush.com/blog/best-ai-seo-tools/,best AI search visibility tools comparison 2026,2026-08-30T20:39:14.209289+00:00,18,3,2,11.1
seocrawl.ai,https://seocrawl.ai/blog/ai-overview-ranking-factors,how to rank in google ai overviews,2026-08-30T20:40:15.210877+00:00,17,1,1,5.9
tryprofound.com-2,https://www.tryprofound.com/blog/best-ai-visibility-tools-for-marketing-agencies,best AI search visibility tools comparison 2026,2026-08-30T20:39:08.526696+00:00,17,1,1,5.9
llmrefs.com,https://llmrefs.com/generative-engine-optimization,generative engine optimization guide 2026,2026-08-30T20:39:00.075687+00:00,11,0,0,0.0
zapier.com,https://zapier.com/blog/best-ai-visibility-tool/,best AI search visibility tools comparison 2026,2026-08-30T20:39:11.052792+00:00,10,1,0,0.0
