page_id,url,seed_query,retrieved_utc,bytes,status
developers.google.com,https://developers.google.com/search/docs/fundamentals/ai-optimization-guide,generative engine optimization guide 2026,2026-08-30T20:38:51.621519+00:00,190503,retrieved
aisearch.similarweb.com,https://aisearch.similarweb.com/blog/what-is-geo/,generative engine optimization guide 2026,2026-08-30T20:38:53.494037+00:00,657785,retrieved
tryprofound.com,https://www.tryprofound.com/articles/top-experts-in-generative-engine-optimization,generative engine optimization guide 2026,2026-08-30T20:38:56.146244+00:00,233257,retrieved
digitalapplied.com,https://www.digitalapplied.com/blog/geo-guide-generative-engine-optimization-2026,generative engine optimization guide 2026,2026-08-30T20:38:57.709336+00:00,292456,retrieved
promptzero.tech,https://promptzero.tech/blog/generative-engine-optimization-guide/,generative engine optimization guide 2026,2026-08-30T20:38:58.972730+00:00,60958,retrieved
llmrefs.com,https://llmrefs.com/generative-engine-optimization,generative engine optimization guide 2026,2026-08-30T20:39:00.075687+00:00,167049,retrieved
writer.com,https://writer.com/blog/geo-aeo-optimization/,generative engine optimization guide 2026,2026-08-30T20:39:01.252274+00:00,273523,retrieved
frase.io,https://www.frase.io/blog/what-is-generative-engine-optimization-geo,generative engine optimization guide 2026,2026-08-30T20:39:02.508635+00:00,440500,retrieved
orchly.ai,https://orchly.ai/blog/best-ai-search-monitoring-tools/,best AI search visibility tools comparison 2026,2026-08-30T20:39:05.539615+00:00,222758,retrieved
evertune.ai,https://www.evertune.ai/resources/insights-on-ai/the-10-best-ai-visibility-tools-for-2026,best AI search visibility tools comparison 2026,2026-08-30T20:39:07.556989+00:00,56312,retrieved
tryprofound.com-2,https://www.tryprofound.com/blog/best-ai-visibility-tools-for-marketing-agencies,best AI search visibility tools comparison 2026,2026-08-30T20:39:08.526696+00:00,382549,retrieved
zapier.com,https://zapier.com/blog/best-ai-visibility-tool/,best AI search visibility tools comparison 2026,2026-08-30T20:39:11.052792+00:00,650110,retrieved
industry-lens.com,https://industry-lens.com/intelligence/ai-search,best AI search visibility tools comparison 2026,2026-08-30T20:39:12.855296+00:00,171142,retrieved
semrush.com,https://www.semrush.com/blog/best-ai-seo-tools/,best AI search visibility tools comparison 2026,2026-08-30T20:39:14.209289+00:00,252925,retrieved
tryprofound.com-3,https://www.tryprofound.com/blog/chatgpt-citation-sources,how to get cited by chatgpt,2026-08-30T20:39:40.784565+00:00,196945,retrieved
purposelaunch.com,https://purposelaunch.com/blog/how-to-get-cited-by-chatgpt-and-google-ai-overviews,how to get cited by chatgpt,2026-08-30T20:39:42.294046+00:00,55273,retrieved
instantpress.co,https://www.instantpress.co/blog/how-to-get-your-brand-cited-by-chatgpt,how to get cited by chatgpt,2026-08-30T20:39:43.796492+00:00,64865,retrieved
semrush.com-2,https://www.semrush.com/blog/how-to-track-your-chatgpt-visibility/,how to track brand mentions in chatgpt,2026-08-30T20:39:46.294291+00:00,206133,retrieved
rankability.com,https://www.rankability.com/blog/how-to-track-brand-mentions-in-chatgpt/,how to track brand mentions in chatgpt,2026-08-30T20:39:47.595313+00:00,105136,retrieved
keyword.com,https://keyword.com/blog/track-brand-mentions-chatgpt/,how to track brand mentions in chatgpt,2026-08-30T20:39:50.630252+00:00,219493,retrieved
siftly.ai,https://siftly.ai/features/chatgpt-visibility,how to track brand mentions in chatgpt,2026-08-30T20:39:52.218453+00:00,154287,retrieved
tryprofound.com-4,https://www.tryprofound.com/articles/what-is-answer-engine-optimization,what is answer engine optimization,2026-08-30T20:39:54.432322+00:00,255626,retrieved
forbes.com,https://www.forbes.com/sites/lutzfinger/2025/06/19/answer-engine-optimization-aeo--what-brands-need-to-know/,what is answer engine optimization,2026-08-30T20:39:56.310788+00:00,1322153,retrieved
hubspot.com,https://www.hubspot.com/products/marketing/aeo-guide,what is answer engine optimization,2026-08-30T20:39:59.781206+00:00,581604,retrieved
pwc.com,https://www.pwc.com/gx/en/1/issues/tech-data-ai/next-tech-agenda/answer-engine-optimisation.html,what is answer engine optimization,2026-08-30T20:40:01.874354+00:00,38176,retrieved
coursera.org,https://www.coursera.org/articles/what-is-answer-engine-optimization,what is answer engine optimization,2026-08-30T20:40:03.013025+00:00,538207,retrieved
semrush.com-3,https://www.semrush.com/blog/answer-engine-optimization/,what is answer engine optimization,2026-08-30T20:40:05.004090+00:00,217732,retrieved
semrush.com-4,https://www.semrush.com/blog/how-to-rank-in-ai-overviews/,how to rank in google ai overviews,2026-08-30T20:40:06.804940+00:00,208124,retrieved
developers.google.com-2,https://developers.google.com/search/blog/2025/05/succeeding-in-ai-search,how to rank in google ai overviews,2026-08-30T20:40:08.637941+00:00,623222,retrieved
ahrefs.com,https://ahrefs.com/blog/how-to-rank-in-ai-overviews/,how to rank in google ai overviews,2026-08-30T20:40:10.846535+00:00,990735,retrieved
segmetrics.io,https://segmetrics.io/articles/rank-google-ai-overview/,how to rank in google ai overviews,2026-08-30T20:40:13.414698+00:00,459836,retrieved
seocrawl.ai,https://seocrawl.ai/blog/ai-overview-ranking-factors,how to rank in google ai overviews,2026-08-30T20:40:15.210877+00:00,285397,retrieved
searchengineland.com,https://searchengineland.com/mastering-generative-engine-optimization-in-2026-full-guide-469142,,,5930,failed_http_403
technologyadvice.com,https://technologyadvice.com/blog/information-technology/ai-software/best-ai-search-monitoring-tools/,,,4556,failed_http_403
